[84] TABLE PLLA_CONFIG (owner: ENOC, 10 rows)
[85] TABLE PLLA_CONFIG_PLANILLA (owner: ENOC, 12 rows)
[86] TABLE PLLA_CONFIG_PLANILLA_CONCEPTO (owner: ENOC, 22 rows)
[87] TABLE PLLA_CONFIG_REP (owner: ENOC, 4 rows)
[88] TABLE PLLA_CONOCIMIENTO (owner: ENOC, 0 rows)
[89] TABLE PLLA_CONOCI_INFORM (owner: ENOC, 3 rows)
[90] TABLE PLLA_CONST_CERTI (owner: ENOC, 46 rows)
[91] TABLE PLLA_CONTRATO_DET (owner: ENOC, 147 rows)
[92] TABLE PLLA_CONTRATO_ESTADO (owner: ENOC, 1140 rows)
[93] TABLE PLLA_CONTRATO_MES (owner: ENOC, 136 rows)
[94] TABLE PLLA_CONTRATO_PARAMETRO (owner: ENOC, 39 rows)
[95] TABLE PLLA_CONTRATO_PARAMETRO_TEST (owner: ENOC, 0 rows)
[96] TABLE PLLA_CONTRATO_VER (owner: ENOC, 5 rows)
[97] TABLE PLLA_CONTROL_ASIST (owner: ENOC, 4 rows)
[98] TABLE PLLA_CONTROL_ASISTENCIA (owner: ENOC, 0 rows)
[99] TABLE PLLA_CONTROL_CULTO (owner: ENOC, 193 rows)
[100] TABLE PLLA_CONTROL_PERSONAL_TRAB (owner: ENOC, 113 rows)
[101] TABLE PLLA_CONTROL_PROCESO (owner: ENOC, 0 rows)
[102] TABLE PLLA_CONTROL_PROCESO_MODULO (owner: ENOC, 0 rows)
[103] TABLE PLLA_COSTOXHORA_CARGA (owner: ENOC, 659 rows)
[104] TABLE PLLA_COSTOXHORA_CARGA_DEL (owner: ENOC, 16 rows)
[105] TABLE PLLA_COSTOXHORA_CARGA_REQ (owner: ENOC, 132 rows)
[106] TABLE PLLA_COSTOXHORA_CARGA_TMP (owner: ENOC, 1 rows)
[107] TABLE PLLA_CUESTIONARIO (owner: ENOC, 4 rows)
[108] TABLE PLLA_CUESTIONARIO_ALT (owner: ENOC, 9 rows)
[109] TABLE PLLA_CUESTIONARIO_ALT_RESP (owner: ENOC, 0 rows)
[110] TABLE PLLA_CUESTIONARIO_PERSONA (owner: ENOC, 27 rows)
[111] TABLE PLLA_DESCRIP_MARCACION (owner: ENOC, 4 rows)
[112] TABLE PLLA_DIAS (owner: ENOC, 7 rows)
[113] TABLE PLLA_DOCENTE_COSTOXHORA (owner: ENOC, 37 rows)
[114] TABLE PLLA_DOCENTE_COSTOXHORA_DET (owner: ENOC, 105 rows)
[115] TABLE PLLA_DOCUMENTO_REVISION (owner: ENOC, 7 rows)
[116] TABLE PLLA_DOCUMENTO_REVISION_HIS (owner: ENOC, 19 rows)
[117] TABLE PLLA_ENCUESTA (owner: ENOC, 1 rows)
[118] TABLE PLLA_ENCUESTA_ALTERNATIVA (owner: ENOC, 22 rows)
[119] TABLE PLLA_ENCUESTA_EMAIL (owner: ENOC, 1 rows)
[120] TABLE PLLA_ENCUESTA_ITEM (owner: ENOC, 42 rows)
[121] TABLE PLLA_ENCUESTA_PREGUNTA (owner: ENOC, 16 rows)
[122] TABLE PLLA_ENCUESTA_RESPUESTA (owner: ENOC, 33 rows)
[123] TABLE PLLA_ESCALA_SALARIAL (owner: ENOC, 303 rows)
[124] TABLE PLLA_ESCALA_SALA_DOCENTE (owner: ENOC, 41 rows)
[125] TABLE PLLA_ESCALA_SALA_DOCENTE_ANT (owner: ENOC, 0 rows)
[126] TABLE PLLA_ESCALA_SALA_DOCENTE_DET (owner: ENOC, 129 rows)
[127] TABLE PLLA_ESPECIALIDADES (owner: ENOC, 0 rows)
[128] TABLE PLLA_ESTADO_ADICIONAL (owner: ENOC, 6 rows)
[129] TABLE PLLA_ESTADO_CAMBIO (owner: ENOC, 10 rows)
[130] TABLE PLLA_ESTADO_CONT (owner: ENOC, 10 rows)
[131] TABLE PLLA_ESTADO_CONT_DEPTO (owner: ENOC, 89 rows)
[132] TABLE PLLA_ESTADO_FALTA (owner: ENOC, 5 rows)
[133] TABLE PLLA_ESTADO_JUSTIF (owner: ENOC, 5 rows)
[134] TABLE PLLA_ESTADO_LEGAJO (owner: ENOC, 3 rows)
[135] TABLE PLLA_ESTADO_LICA_PER (owner: ENOC, 5 rows)
[136] TABLE PLLA_ESTADO_PERIODO_VAC (owner: ENOC, 3 rows)
[137] TABLE PLLA_ESTADO_PLANILLA (owner: ENOC, 6 rows)
[138] TABLE PLLA_ESTADO_REMUNE (owner: ENOC, 6 rows)
[139] TABLE PLLA_ESTADO_REQ (owner: ENOC, 10 rows)
[140] TABLE PLLA_ESTADO_REQ_CAND (owner: ENOC, 12 rows)
[141] TABLE PLLA_ESTADO_REUNION_CAND (owner: ENOC, 5 rows)
[142] TABLE PLLA_ESTADO_ROL_VAC (owner: ENOC, 2 rows)
[143] TABLE PLLA_ESTADO_SOBRETIEMPO (owner: ENOC, 7 rows)
[144] TABLE PLLA_ESTADO_SUBSIDIO (owner: ENOC, 5 rows)
[145] TABLE PLLA_ESTADO_VAC_ADEL (owner: ENOC, 5 rows)
[146] TABLE PLLA_ESTADO_VAC_TRAB (owner: ENOC, 5 rows)
[147] TABLE PLLA_EVAL_GRUPO (owner: ENOC, 3 rows)
[148] TABLE PLLA_EXP_LABORAL (owner: ENOC, 5 rows)
[149] TABLE PLLA_FACTOR (owner: ENOC, 5 rows)
[150] TABLE PLLA_FALTAS (owner: ENOC, 0 rows)
[151] TABLE PLLA_FECHA_PUBLIC (owner: ENOC, 10 rows)
[152] TABLE PLLA_FERIADOS (owner: ENOC, 69 rows)
[153] TABLE PLLA_FERIADO_INST (owner: ENOC, 3 rows)
[154] TABLE PLLA_GIRO (owner: ENOC, 4 rows)
[155] TABLE PLLA_GRADO (owner: ENOC, 6 rows)
[156] TABLE PLLA_GRUPO_COMPETENCIA (owner: ENOC, 14 rows)
[157] TABLE PLLA_GRUPO_COMPETENCIA_NIVEL (owner: ENOC, 39 rows)
[158] TABLE PLLA_GRUPO_CUESTIONARIO (owner: ENOC, 3 rows)
[159] TABLE PLLA_GRUPO_ESCALA (owner: ENOC, 65 rows)
[160] TABLE PLLA_GRUPO_PLANILLA (owner: ENOC, 4 rows)
[161] TABLE PLLA_HORARIO_BLOQUE (owner: ENOC, 12 rows)
[162] TABLE PLLA_HORARIO_DETALLE (owner: ENOC, 49 rows)
[163] TABLE PLLA_HORARIO_MENSUAL (owner: ENOC, 8 rows)
[164] TABLE PLLA_HORARIO_MENSUAL_DET (owner: ENOC, 52 rows)
[165] TABLE PLLA_HORAS_MENSUAL_LAB (owner: ENOC, 12 rows)
[166] TABLE PLLA_HORAS_REF (owner: ENOC, 3 rows)
[167] TABLE PLLA_IMAGEN_SELEC (owner: ENOC, 21 rows)
[168] TABLE PLLA_JOB (owner: ENOC, 8 rows)
[169] TABLE PLLA_JOB_DET (owner: ENOC, 24 rows)
[170] TABLE PLLA_LEGAJO (owner: ENOC, 5 rows)
[171] TABLE PLLA_LEGAJO_ESTADO (owner: ENOC, 6 rows)
[172] TABLE PLLA_LICENCIA_PERMISO (owner: ENOC, 52 rows)
[173] TABLE PLLA_LICENCIA_PERMISO_ANHO (owner: ENOC, 42 rows)
[174] TABLE PLLA_LICENCIA_PERMISO_DET (owner: ENOC, 14 rows)
[175] TABLE PLLA_LICENCIA_PERMISO_ENV (owner: ENOC, 0 rows)
[176] TABLE PLLA_LICENCIA_PERMISO_ESTADO (owner: ENOC, 124 rows)
[177] TABLE PLLA_LICENCIA_PERMISO_EST_SUB (owner: ENOC, 3 rows)
[178] TABLE PLLA_LISTADO_GENERAL_PAGO (owner: ENOC, 0 rows)
[179] TABLE PLLA_LISTADO_MENSUAL_PAGO (owner: ENOC, 0 rows)
[180] TABLE PLLA_MAPA_AREA (owner: ENOC, 2 rows)
[181] TABLE PLLA_MAPA_COORDENADA (owner: ENOC, 9 rows)
[182] TABLE PLLA_MAPA_COORD_RADIO (owner: ENOC, 21 rows)
[183] TABLE PLLA_MAPA_DIA (owner: ENOC, 3 rows)
[184] TABLE PLLA_MAPA_POLIGONO (owner: ENOC, 16 rows)
[185] TABLE PLLA_MAPA_RADIO (owner: ENOC, 29 rows)
[186] TABLE PLLA_MAPA_TRABAJADOR (owner: ENOC, 8 rows)
[187] TABLE PLLA_MAPA_UBIC_DEPTO (owner: ENOC, 7 rows)
[188] TABLE PLLA_MARCACION (owner: ENOC, 78 rows)
[189] TABLE PLLA_MARCACION_WORKER_TEMP (owner: ENOC, 0 rows)
[190] TABLE PLLA_MODALIDAD_REQ (owner: ENOC, 7 rows)
[191] TABLE PLLA_MOTIVO_ASIST (owner: ENOC, 13 rows)
[192] TABLE PLLA_MOTIVO_CESE (owner: ENOC, 18 rows)
[193] TABLE PLLA_MOTIVO_JUSTIF (owner: ENOC, 4 rows)
[194] TABLE PLLA_MOTIVO_REQ (owner: ENOC, 4 rows)
[195] TABLE PLLA_NIVEL (owner: ENOC, 4 rows)
[196] TABLE PLLA_NIVEL_COMPETENCIA (owner: ENOC, 3 rows)
[197] TABLE PLLA_NIVEL_CONOC (owner: ENOC, 3 rows)
[198] TABLE PLLA_PARAMETROS (owner: ENOC, 24 rows)
[199] TABLE PLLA_PARAMETROS_VALOR (owner: ENOC, 25 rows)
[200] TABLE PLLA_PARAMETROS_VALOR_DET (owner: ENOC, 0 rows)
[201] TABLE PLLA_PARAM_ATENCION (owner: ENOC, 8 rows)
[202] TABLE PLLA_PARAM_EMAIL (owner: ENOC, 4 rows)
[203] TABLE PLLA_PARAM_EMAIL_CONFIG (owner: ENOC, 14 rows)
[204] TABLE PLLA_PARAM_TIPO (owner: ENOC, 2 rows)
[205] TABLE PLLA_PASO_REQUE (owner: ENOC, 3 rows)
[206] TABLE PLLA_PASO_REQUE_EST (owner: ENOC, 0 rows)
